Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Manger avec Jo"	"29.07.2021 19:00"	"29.07.2021 20:00"	"Rappel"	""	""
"Midi avec Marionde"	"24.04.2021 12:00"	"24.04.2021 13:00"	"Rappel"	""	""
"Berne avec Leonor"	"16.10.2021"	"17.10.2021"	""	""	""
"Call Anne-Sophie"	"07.02.2021 16:00"	"07.02.2021 17:00"	"Rappel"	""	""
"Envoyer message à Gayal CFO / COO"	"12.06.2021 14:00"	"12.06.2021 15:00"	"Rappel"	""	""
"Verre avec Marin"	"25.09.2020 19:00"	"25.09.2020 20:00"	""	""	""
"Anni Jimmy"	"25.07.2020 21:30"	"25.07.2020 22:30"	"Rappel"	""	""
"Call Marionde et PLD"	"09.03.2021 18:30"	"09.03.2021 19:30"	"Rappel"	""	""
"Rendez-vous STCC Sécurité"	"22.04.2021 09:30"	"22.04.2021 10:30"	"Rappel"	""	""
"Marionde"	"25.02.2021 17:00"	"25.02.2021 18:00"	"Rappel"	""	""
"Présence au Forum"	"08.10.2020 10:30"	"08.10.2020 13:30"	"Rappel"	""	""
"Call SHS avec Emma"	"15.04.2021 16:00"	"15.04.2021 18:00"	"Rappel"	""	""
"Colo"	"31.07.2021"	"14.08.2021"	""	""	""
"Payer Emma"	"06.07.2021 17:00"	"06.07.2021 18:00"	"Rappel"	""	""
"Rendez-vous Jojo lac"	"01.04.2021 16:00"	"01.04.2021 17:00"	"Rappel"	""	""
"Bosser avec Élodie"	"12.01.2021 08:30"	"12.01.2021 09:30"	"Rappel"	""	""
"Canapé"	"22.09.2021 14:45"	"22.09.2021 15:45"	"Rappel"	""	""
"Général assembly racing team"	"15.02.2021 18:00"	"15.02.2021 19:00"	"Rappel"	""	""
"Meeting décision driverless"	"01.09.2021 11:15"	"01.09.2021 12:15"	"Rappel"	""	""
"Réunion racing team"	"07.11.2020 18:00"	"08.11.2020 00:00"	"Rappel"	""	""
"Rappeler mec de human at work"	"08.09.2021 19:30"	"08.09.2021 20:30"	"Rappel"	""	""
"Call SHS avec Emma"	"09.04.2021 16:00"	"09.04.2021 17:00"	"Rappel"	""	""
"Récrire à Nicolas pour le Riverside"	"09.05.2021"	"10.05.2021"	""	""	""
"Bouffe midi Ragul"	"22.04.2021 12:00"	"22.04.2021 13:00"	"Rappel"	""	""
"Réunion zoom comité année pro"	"24.04.2021 13:30"	"24.04.2021 14:30"	"Rappel"	""	""
"Meeting entretien EPFLRT"	"02.06.2021 10:00"	"02.06.2021 11:00"	"Rappel"	""	""
"Repetitoire André"	"01.02.2021 16:30"	"01.02.2021 17:30"	"Rappel"	""	""
"Café avec Joris"	"23.07.2020 18:00"	"23.07.2020 19:00"	"Rappel"	""	""
"Meeting sponsoring Anna"	"09.06.2021 14:00"	"09.06.2021 15:00"	"Rappel"	""	""
"Repas fin master Flo"	"06.07.2021 18:00"	"06.07.2021 19:00"	"Rappel"	""	""
"Physio"	"05.10.2020 15:30"	"05.10.2020 16:30"	"Rappel"	""	""
"Appel projet de bachelor"	"08.01.2021 16:00"	"08.01.2021 17:00"	"Rappel"	""	""
"Studio avec Eliott"	"13.07.2020 19:30"	"13.07.2020 20:30"	"Rappel"	""	""
"Demande Dassault"	"27.07.2021 12:00"	"27.07.2021 13:00"	"Rappel"	""	""
"Dire à Chris pour Racing Team"	"10.10.2020 17:00"	"10.10.2020 18:00"	"Rappel"	""	""
"Chris Biz"	"15.05.2021 18:00"	"15.05.2021 19:00"	"Rappel"	""	""
"Anni Jojo"	"12.03.2021 12:00"	"12.03.2021 13:00"	"Rappel"	""	""
"Meeting bachelor project"	"06.11.2020 16:00"	"06.11.2020 17:00"	"Rappel"	""	""
"Call team leaders racing team"	"01.02.2021 18:00"	"01.02.2021 19:00"	"Rappel"	""	""
"Contacter team sponso"	"18.02.2021 17:00"	"18.02.2021 18:00"	"Rappel"	""	""
"Pitch night Moritz"	"12.03.2021 18:00"	"12.03.2021 19:00"	"Rappel"	""	""
"Rando avec Jojo"	"11.09.2021"	"15.09.2021"	""	""	""
"Rdv edm pour les sats"	"01.07.2020 18:00"	"01.07.2020 19:00"	"Rappel"	""	""
"Prendre matériel natation maman"	"21.10.2020"	"22.10.2020"	""	""	""
"Rollout racing team spark"	"09.04.2021 14:00"	"09.04.2021 15:00"	"Rappel"	""	""
"Physio"	"07.09.2020 13:30"	"07.09.2020 14:30"	""	""	""
"Database milestone 2"	"25.04.2021 08:30"	"25.04.2021 09:30"	"Rappel"	""	""
"Verre avec Alexandra et Rina"	"05.08.2020 20:00"	"05.08.2020 21:00"	""	""	""
"Appel Victor"	"22.02.2021 18:00"	"22.02.2021 19:00"	"Rappel"	""	""
"Call Liston Petr Automatic control"	"04.02.2021 13:00"	"04.02.2021 14:00"	"Rappel"	""	""
"PDC graded homework released (10%)"	"24.03.2021"	"25.03.2021"	""	""	""
"Verre avec Élodie"	"27.05.2021 18:00"	"27.05.2021 19:00"	"Rappel"	""	""
"Bumble announces Q1 earnings keep close eye"	"12.05.2021"	"13.05.2021"	""	""	""
"Repas avec Batona"	"22.12.2020 19:00"	"22.12.2020 20:00"	"Rappel"	""	""
"Soirée avec Théa"	"01.10.2020 19:00"	"01.10.2020 20:00"	""	""	""
"Business plan avec PA et Chris"	"29.04.2021 15:00"	"29.04.2021 16:00"	"Rappel"	""	""
"Meeting sponsoring"	"13.05.2021 14:00"	"13.05.2021 15:00"	"Rappel"	""	""
"Soirée Nylsa"	"05.04.2021 18:00"	"05.04.2021 19:00"	"Rappel"	""	""
"Repas avec Jojo"	"10.10.2020 18:00"	"10.10.2020 19:00"	"Rappel"	""	""
"Verre avec Héloïse"	"30.06.2021 14:00"	"30.06.2021 15:00"	"Rappel"	""	""
"Ligar avó Dália"	"16.02.2021 14:00"	"16.02.2021 15:00"	"Rappel"	""	""
"Anni Marin"	"20.11.2020"	"22.11.2020"	""	""	""
"Meeting Racing Team Matthieu"	"18.09.2020 15:00"	"18.09.2020 16:00"	""	""	""
"Manger + bière avec Jojo"	"15.12.2020 20:00"	"15.12.2020 21:00"	"Rappel"	""	""
"Écrire article pour site MV BlueFox"	"28.02.2021 12:00"	"28.02.2021 13:00"	"Rappel"	""	""
"Rendez-vous UBS"	"17.02.2021 11:00"	"17.02.2021 12:00"	"Rappel"	""	""
"Team leader meeting + prof"	"02.10.2020 09:00"	"02.10.2020 10:00"	""	""	""
"Midi avec Nico"	"17.09.2020 12:00"	"17.09.2020 13:00"	""	""	""
"Call interview Racing team"	"14.11.2020 10:00"	"14.11.2020 11:00"	"Rappel"	""	""
"Lunettes maman"	"07.10.2020 15:00"	"07.10.2020 16:00"	"Rappel"	""	""
"Verre avec Théa et Marion"	"20.08.2020 19:00"	"20.08.2020 20:00"	"Rappel"	""	""
"Meeting Zoom Pr. Thiran"	"28.08.2020 14:00"	"28.08.2020 15:00"	""	""	""
"Chez Chantal"	"27.12.2020 18:00"	"27.12.2020 19:00"	"Rappel"	""	""
"Meeting avec Seb"	"28.08.2021 16:00"	"28.08.2021 17:00"	"Rappel"	""	""
"Formula Student - CH"	"14.07.2021"	"19.07.2021"	""	""	""
"Call Marcos interview"	"24.02.2021 09:00"	"24.02.2021 10:00"	"Rappel"	""	""
"Beer Oganes"	"05.02.2021 14:00"	"05.02.2021 15:00"	"Rappel"	""	""
"Rendez-vous médecin + médocs"	"06.10.2020 15:15"	"06.10.2020 16:15"	"Rappel"	""	""
"Call Iris"	"08.05.2021 17:00"	"08.05.2021 18:00"	"Rappel"	""	""
